Action,Name,Points,GameMode,Timestamp
TriggerXAssertsByTestsAchievement,Assert and Tested,1,LEADERBOARD,2025-11-01 17:38:44.415
TriggerXAssertsByTestsAchievement,Assert and Tested,1,LEADERBOARD,2025-11-01 17:38:44.446
TriggerXAssertsByTestsAchievement,Assert and Tested,2,LEADERBOARD,2025-11-01 17:38:44.46
TriggerXAssertsByTestsAchievement,Assert and Tested,1,LEADERBOARD,2025-11-01 17:38:44.487
TriggerXAssertsByTestsAchievement,Assert and Tested,1,LEADERBOARD,2025-11-01 17:38:44.502
TriggerXAssertsByTestsAchievement,Assert and Tested,1,LEADERBOARD,2025-11-01 17:38:44.527
TriggerXAssertsByTestsAchievement,Assert and Tested,1,LEADERBOARD,2025-11-01 17:38:44.556
TriggerXAssertsByTestsAchievement,Assert and Tested,3,LEADERBOARD,2025-11-01 17:38:44.574
TriggerXAssertsByTestsAchievement,Assert and Tested,2,LEADERBOARD,2025-11-01 17:38:44.657
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-11-01 17:38:45.42
RunWithCoverageAchievement,Gotta Catch ’Em All,1,LEADERBOARD,2025-11-01 17:38:45.433
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-11-01 17:39:31.163
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-11-01 17:39:59.8
TriggerXAssertsByTestsAchievement,Assert and Tested,2,LEADERBOARD,2025-11-01 17:40:37.599
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-11-01 17:40:38.082
TriggerXAssertsByTestsAchievement,Assert and Tested,1,LEADERBOARD,2025-11-01 17:40:57.896
TriggerXAssertsByTestsAchievement,Assert and Tested,1,LEADERBOARD,2025-11-01 17:40:57.905
TriggerXAssertsByTestsAchievement,Assert and Tested,2,LEADERBOARD,2025-11-01 17:40:58.216
TriggerXAssertsByTestsAchievement,Assert and Tested,2,LEADERBOARD,2025-11-01 17:40:58.226
TriggerXAssertsByTestsAchievement,Assert and Tested,2,LEADERBOARD,2025-11-01 17:40:58.233
TriggerXAssertsByTestsAchievement,Assert and Tested,1,LEADERBOARD,2025-11-01 17:40:58.589
TriggerXAssertsByTestsAchievement,Assert and Tested,1,LEADERBOARD,2025-11-01 17:40:58.603
TriggerXAssertsByTestsAchievement,Assert and Tested,1,LEADERBOARD,2025-11-01 17:40:58.615
TriggerXAssertsByTestsAchievement,Assert and Tested,1,LEADERBOARD,2025-11-01 17:40:58.634
TriggerXAssertsByTestsAchievement,Assert and Tested,1,LEADERBOARD,2025-11-01 17:40:58.68
TriggerXAssertsByTestsAchievement,Assert and Tested,1,LEADERBOARD,2025-11-01 17:40:58.697
TriggerXAssertsByTestsAchievement,Assert and Tested,1,LEADERBOARD,2025-11-01 17:40:58.715
TriggerXAssertsByTestsAchievement,Assert and Tested,3,LEADERBOARD,2025-11-01 17:40:58.885
TriggerXAssertsByTestsAchievement,Assert and Tested,2,LEADERBOARD,2025-11-01 17:40:58.937
TriggerXAssertsByTestsAchievement,Assert and Tested,3,LEADERBOARD,2025-11-01 17:40:59.015
TriggerXAssertsByTestsAchievement,Assert and Tested,2,LEADERBOARD,2025-11-01 17:40:59.022
TriggerXAssertsByTestsAchievement,Assert and Tested,3,LEADERBOARD,2025-11-01 17:40:59.056
TriggerXAssertsByTestsAchievement,Assert and Tested,0,LEADERBOARD,2025-11-01 17:40:59.088
TriggerXAssertsByTestsAchievement,Assert and Tested,3,LEADERBOARD,2025-11-01 17:40:59.113
TriggerXAssertsByTestsAchievement,Assert and Tested,1,LEADERBOARD,2025-11-01 17:40:59.125
TriggerXAssertsByTestsAchievement,Assert and Tested,1,LEADERBOARD,2025-11-01 17:40:59.132
TriggerXAssertsByTestsAchievement,Assert and Tested,1,LEADERBOARD,2025-11-01 17:40:59.148
TriggerXAssertsByTestsAchievement,Assert and Tested,1,LEADERBOARD,2025-11-01 17:40:59.155
TriggerXAssertsByTestsAchievement,Assert and Tested,2,LEADERBOARD,2025-11-01 17:40:59.272
TriggerXAssertsByTestsAchievement,Assert and Tested,2,LEADERBOARD,2025-11-01 17:40:59.279
TriggerXAssertsByTestsAchievement,Assert and Tested,1,LEADERBOARD,2025-11-01 17:40:59.286
TriggerXAssertsByTestsAchievement,Assert and Tested,2,LEADERBOARD,2025-11-01 17:40:59.293
TriggerXAssertsByTestsAchievement,Assert and Tested,2,LEADERBOARD,2025-11-01 17:40:59.3
TriggerXAssertsByTestsAchievement,Assert and Tested,1,LEADERBOARD,2025-11-01 17:40:59.579
TriggerXAssertsByTestsAchievement,Assert and Tested,0,LEADERBOARD,2025-11-01 17:40:59.707
TriggerXAssertsByTestsAchievement,Assert and Tested,0,LEADERBOARD,2025-11-01 17:40:59.714
TriggerXAssertsByTestsAchievement,Assert and Tested,0,LEADERBOARD,2025-11-01 17:40:59.721
TriggerXAssertsByTestsAchievement,Assert and Tested,0,LEADERBOARD,2025-11-01 17:40:59.73
TriggerXAssertsByTestsAchievement,Assert and Tested,1,LEADERBOARD,2025-11-01 17:40:59.738
TriggerXAssertsByTestsAchievement,Assert and Tested,1,LEADERBOARD,2025-11-01 17:40:59.751
TriggerXAssertsByTestsAchievement,Assert and Tested,1,LEADERBOARD,2025-11-01 17:40:59.758
TriggerXAssertsByTestsAchievement,Assert and Tested,1,LEADERBOARD,2025-11-01 17:40:59.767
TriggerXAssertsByTestsAchievement,Assert and Tested,1,LEADERBOARD,2025-11-01 17:40:59.791
TriggerXAssertsByTestsAchievement,Assert and Tested,1,LEADERBOARD,2025-11-01 17:40:59.798
TriggerXAssertsByTestsAchievement,Assert and Tested,1,LEADERBOARD,2025-11-01 17:40:59.805
TriggerXAssertsByTestsAchievement,Assert and Tested,2,LEADERBOARD,2025-11-01 17:40:59.832
TriggerXAssertsByTestsAchievement,Assert and Tested,1,LEADERBOARD,2025-11-01 17:40:59.843
TriggerXAssertsByTestsAchievement,Assert and Tested,1,LEADERBOARD,2025-11-01 17:40:59.851
TriggerXAssertsByTestsAchievement,Assert and Tested,1,LEADERBOARD,2025-11-01 17:40:59.858
TriggerXAssertsByTestsAchievement,Assert and Tested,1,LEADERBOARD,2025-11-01 17:40:59.866
TriggerXAssertsByTestsAchievement,Assert and Tested,3,LEADERBOARD,2025-11-01 17:40:59.875
TriggerXAssertsByTestsAchievement,Assert and Tested,2,LEADERBOARD,2025-11-01 17:40:59.899
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-11-01 17:41:00.594
RunWithCoverageAchievement,Gotta Catch ’Em All,1,LEADERBOARD,2025-11-01 17:41:00.595
RefactorAddXAssertionsAchievement,Double check,2,LEADERBOARD,2025-11-01 19:05:43.028
AddTestsAchievement,Safety First,1,LEADERBOARD,2025-11-01 19:05:43.032
TriggerXAssertsByTestsAchievement,Assert and Tested,2,LEADERBOARD,2025-11-01 19:07:27.595
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-11-01 19:07:28.099
RefactorAddXAssertionsAchievement,Double check,2,LEADERBOARD,2025-11-01 19:09:10.409
AddTestsAchievement,Safety First,1,LEADERBOARD,2025-11-01 19:09:10.41
TriggerXAssertsByTestsAchievement,Assert and Tested,2,LEADERBOARD,2025-11-01 19:09:14.0
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-11-01 19:09:14.511
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-11-01 19:09:28.585
RefactorAddXAssertionsAchievement,Double check,2,LEADERBOARD,2025-11-01 19:12:25.96
AddTestsAchievement,Safety First,1,LEADERBOARD,2025-11-01 19:12:25.962
TriggerXAssertsByTestsAchievement,Assert and Tested,2,LEADERBOARD,2025-11-01 19:12:29.671
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-11-01 19:12:30.178
RefactorAddXAssertionsAchievement,Double check,2,LEADERBOARD,2025-11-01 19:13:33.16
AddTestsAchievement,Safety First,1,LEADERBOARD,2025-11-01 19:13:33.162
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-11-01 19:13:37.221
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-11-01 19:14:27.057
TriggerXAssertsByTestsAchievement,Assert and Tested,2,LEADERBOARD,2025-11-01 19:17:36.255
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-11-01 19:17:36.76
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-11-01 19:17:47.988
RefactorAddXAssertionsAchievement,Double check,2,LEADERBOARD,2025-11-01 19:19:10.054
AddTestsAchievement,Safety First,1,LEADERBOARD,2025-11-01 19:19:10.055
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-11-01 19:19:14.334
TriggerXAssertsByTestsAchievement,Assert and Tested,2,LEADERBOARD,2025-11-01 19:19:39.223
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-11-01 19:19:39.732
RefactorAddXAssertionsAchievement,Double check,2,LEADERBOARD,2025-11-01 19:20:15.57
AddTestsAchievement,Safety First,1,LEADERBOARD,2025-11-01 19:20:15.57
TriggerXAssertsByTestsAchievement,Assert and Tested,2,LEADERBOARD,2025-11-01 19:20:19.636
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-11-01 19:20:20.142
RefactorAddXAssertionsAchievement,Double check,2,LEADERBOARD,2025-11-01 19:21:32.973
AddTestsAchievement,Safety First,1,LEADERBOARD,2025-11-01 19:21:32.973
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-11-01 19:21:37.066
RefactorAddXAssertionsAchievement,Double check,2,LEADERBOARD,2025-11-01 19:22:16.245
AddTestsAchievement,Safety First,1,LEADERBOARD,2025-11-01 19:22:16.246
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-11-01 19:22:20.498
RefactorAddXAssertionsAchievement,Double check,2,LEADERBOARD,2025-11-01 19:25:54.507
AddTestsAchievement,Safety First,1,LEADERBOARD,2025-11-01 19:25:54.508
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-11-01 19:25:58.728
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-11-01 19:26:13.09
TriggerXAssertsByTestsAchievement,Assert and Tested,2,LEADERBOARD,2025-11-01 19:26:32.167
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-11-01 19:26:32.673
RefactorAddXAssertionsAchievement,Double check,2,LEADERBOARD,2025-11-01 19:29:27.08
AddTestsAchievement,Safety First,1,LEADERBOARD,2025-11-01 19:29:27.081
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-11-01 19:29:31.554
TriggerXAssertsByTestsAchievement,Assert and Tested,2,LEADERBOARD,2025-11-01 19:30:25.294
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-11-01 19:30:25.798
RefactorAddXAssertionsAchievement,Double check,1,LEADERBOARD,2025-11-01 19:30:32.968
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-11-01 19:30:37.729
TriggerXAssertsByTestsAchievement,Assert and Tested,2,LEADERBOARD,2025-11-01 19:31:35.866
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-11-01 19:31:36.374
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-11-01 19:31:47.074
RefactorAddXAssertionsAchievement,Double check,2,LEADERBOARD,2025-11-01 19:34:42.623
AddTestsAchievement,Safety First,1,LEADERBOARD,2025-11-01 19:34:42.624
TriggerXAssertsByTestsAchievement,Assert and Tested,2,LEADERBOARD,2025-11-01 19:34:46.291
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-11-01 19:34:46.796
RefactorAddXAssertionsAchievement,Double check,5,LEADERBOARD,2025-11-01 20:07:13.724
AddTestsAchievement,Safety First,1,LEADERBOARD,2025-11-01 20:07:13.727
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-11-01 20:07:17.598
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-11-01 20:08:52.125
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-11-01 20:12:56.186
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-11-01 20:13:56.2
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-11-01 20:14:07.583
TriggerXAssertsByTestsAchievement,Assert and Tested,3,LEADERBOARD,2025-11-01 20:14:49.563
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-11-01 20:14:50.07
RefactorAddXAssertionsAchievement,Double check,3,LEADERBOARD,2025-11-01 20:16:04.503
AddTestsAchievement,Safety First,1,LEADERBOARD,2025-11-01 20:16:04.503
RefactorXTestNamesAchievement,The Eponym,1,LEADERBOARD,2025-11-01 20:16:04.528
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-11-01 20:16:08.736
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-11-01 20:17:30.59
